NAMES                  IMAGE                STATUS
pgsims_worker          docker-worker        Up 39 seconds
pgsims_beat            docker-beat          Up 39 seconds
pgsims_backend_prod    docker-backend       Up 39 seconds (healthy)
pgsims_db_prod         postgres:15-alpine   Up 11 hours (healthy)
pgsims_frontend_prod   docker-frontend      Up 32 hours (healthy)
pgsims_redis_prod      redis:7-alpine       Up 32 hours (healthy)
vexel-admin-1          vexel-admin          Up 34 hours
vexel-api-1            vexel-api            Up 34 hours (healthy)
vexel-pdf-1            vexel-pdf            Up 34 hours (healthy)
vexel-operator-1       vexel-operator       Up 34 hours
vexel-worker-1         vexel-worker         Up 34 hours
vexel-postgres-1       postgres:16-alpine   Up 34 hours (healthy)
vexel-minio-1          minio/minio:latest   Up 34 hours (healthy)
vexel-redis-1          redis:7-alpine       Up 34 hours (healthy)
rims_backend_prod      radreport-backend    Up 5 days (healthy)
rims_frontend_prod     radreport-frontend   Up 5 days (healthy)
rims_db_prod           postgres:16-alpine   Up 5 days (healthy)
