 schemaname |                        relname                         | n_live_tup 
------------+--------------------------------------------------------+------------
 public     | academics_batch                                        |          0
 public     | academics_department                                   |          5
 public     | academics_studentprofile                               |          0
 public     | audit_activitylog                                      |         43
 public     | audit_auditreport                                      |          0
 public     | audit_historicalauditreport                            |          0
 public     | auth_group                                             |          0
 public     | auth_group_permissions                                 |          0
 public     | auth_permission                                        |        260
 public     | bulk_bulkoperation                                     |          0
 public     | django_admin_log                                       |          0
 public     | django_celery_beat_clockedschedule                     |          0
 public     | django_celery_beat_crontabschedule                     |          1
 public     | django_celery_beat_intervalschedule                    |          0
 public     | django_celery_beat_periodictask                        |          1
 public     | django_celery_beat_periodictasks                       |          1
 public     | django_celery_beat_solarschedule                       |          0
 public     | django_content_type                                    |         65
 public     | django_migrations                                      |         53
 public     | django_session                                         |          0
 public     | notifications_notification                             |          0
 public     | notifications_notificationpreference                   |          1
 public     | rotations_hospital                                     |          1
 public     | rotations_hospitaldepartment                           |          5
 public     | training_deputationposting                             |          0
 public     | training_historicaldeputationposting                   |          0
 public     | training_historicalleaverequest                        |          0
 public     | training_historicalprogrammilestone                    |          0
 public     | training_historicalprogrammilestonelogbookrequirement  |          0
 public     | training_historicalprogrammilestoneresearchrequirement |         35
 public     | training_historicalprogrammilestoneworkshoprequirement |          8
 public     | training_historicalprogrampolicy                       |         11
 public     | training_historicalprogramrotationtemplate             |          0
 public     | training_historicalresidentresearchproject             |          0
 public     | training_historicalresidentthesis                      |          0
 public     | training_historicalresidenttrainingrecord              |          0
 public     | training_historicalresidentworkshopcompletion          |          0
 public     | training_historicalrotationassignment                  |          0
 public     | training_historicaltrainingprogram                     |          0
 public     | training_historicalworkshop                            |          0
 public     | training_historicalworkshopblock                       |          0
 public     | training_historicalworkshoprun                         |          0
 public     | training_leaverequest                                  |          0
 public     | training_programmilestone                              |          0
 public     | training_programmilestonelogbookrequirement            |          0
 public     | training_programmilestoneresearchrequirement           |          0
 public     | training_programmilestoneworkshoprequirement           |          0
 public     | training_programpolicy                                 |          0
 public     | training_programrotationtemplate                       |          0
 public     | training_programrotationtemplate_allowed_hospitals     |          0
 public     | training_residentmilestoneeligibility                  |          0
 public     | training_residentresearchproject                       |          0
 public     | training_residentthesis                                |          0
 public     | training_residenttrainingrecord                        |          0
 public     | training_residentworkshopcompletion                    |          0
 public     | training_rotationassignment                            |          0
 public     | training_trainingprogram                               |          0
 public     | training_workshop                                      |          0
 public     | training_workshopblock                                 |          0
 public     | training_workshoprun                                   |          0
 public     | users_departmentmembership                             |          0
 public     | users_historicaluser                                   |          7
 public     | users_hodassignment                                    |          0
 public     | users_hospitalassignment                               |          0
 public     | users_residentprofile                                  |          0
 public     | users_staffprofile                                     |          0
 public     | users_supervisorresidentlink                           |          0
 public     | users_user                                             |          1
 public     | users_user_groups                                      |          0
 public     | users_user_user_permissions                            |          0
(70 rows)

