 schemaname |                        relname                         | n_live_tup 
------------+--------------------------------------------------------+------------
 public     | academics_batch                                        |          0
 public     | academics_department                                   |         12
 public     | academics_studentprofile                               |          0
 public     | audit_activitylog                                      |        851
 public     | audit_auditreport                                      |          0
 public     | audit_historicalauditreport                            |          0
 public     | auth_group                                             |          0
 public     | auth_group_permissions                                 |          0
 public     | auth_permission                                        |        260
 public     | bulk_bulkoperation                                     |          0
 public     | django_admin_log                                       |          0
 public     | django_celery_beat_clockedschedule                     |          0
 public     | django_celery_beat_crontabschedule                     |          1
 public     | django_celery_beat_intervalschedule                    |          0
 public     | django_celery_beat_periodictask                        |          1
 public     | django_celery_beat_periodictasks                       |          1
 public     | django_celery_beat_solarschedule                       |          0
 public     | django_content_type                                    |         65
 public     | django_migrations                                      |         53
 public     | django_session                                         |          0
 public     | notifications_notification                             |         15
 public     | notifications_notificationpreference                   |         15
 public     | rotations_hospital                                     |          8
 public     | rotations_hospitaldepartment                           |         11
 public     | training_deputationposting                             |          3
 public     | training_historicaldeputationposting                   |          3
 public     | training_historicalleaverequest                        |          4
 public     | training_historicalprogrammilestone                    |         27
 public     | training_historicalprogrammilestonelogbookrequirement  |          0
 public     | training_historicalprogrammilestoneresearchrequirement |         28
 public     | training_historicalprogrammilestoneworkshoprequirement |          4
 public     | training_historicalprogrampolicy                       |          6
 public     | training_historicalprogramrotationtemplate             |          6
 public     | training_historicalresidentresearchproject             |         35
 public     | training_historicalresidentthesis                      |          8
 public     | training_historicalresidenttrainingrecord              |         20
 public     | training_historicalresidentworkshopcompletion          |          8
 public     | training_historicalrotationassignment                  |         24
 public     | training_historicaltrainingprogram                     |         15
 public     | training_historicalworkshop                            |          3
 public     | training_historicalworkshopblock                       |          3
 public     | training_historicalworkshoprun                         |          3
 public     | training_leaverequest                                  |          4
 public     | training_programmilestone                              |          7
 public     | training_programmilestonelogbookrequirement            |          0
 public     | training_programmilestoneresearchrequirement           |          7
 public     | training_programmilestoneworkshoprequirement           |          4
 public     | training_programpolicy                                 |          5
 public     | training_programrotationtemplate                       |          6
 public     | training_programrotationtemplate_allowed_hospitals     |         12
 public     | training_residentmilestoneeligibility                  |         19
 public     | training_residentresearchproject                       |         10
 public     | training_residentthesis                                |          8
 public     | training_residenttrainingrecord                        |         10
 public     | training_residentworkshopcompletion                    |          8
 public     | training_rotationassignment                            |         24
 public     | training_trainingprogram                               |          5
 public     | training_workshop                                      |          3
 public     | training_workshopblock                                 |          3
 public     | training_workshoprun                                   |          3
 public     | users_departmentmembership                             |         14
 public     | users_historicaluser                                   |        654
 public     | users_hodassignment                                    |          3
 public     | users_hospitalassignment                               |         13
 public     | users_residentprofile                                  |          9
 public     | users_staffprofile                                     |          5
 public     | users_supervisorresidentlink                           |          9
 public     | users_user                                             |         24
 public     | users_user_groups                                      |          0
 public     | users_user_user_permissions                            |          0
(70 rows)

