                                                              List of relations
 Schema |                          Name                          | Type  |   Owner   | Persistence | Access method |    Size    | Description 
--------+--------------------------------------------------------+-------+-----------+-------------+---------------+------------+-------------
 public | academics_batch                                        | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | academics_department                                   | table | sims_user | permanent   | heap          | 48 kB      | 
 public | academics_studentprofile                               | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | audit_activitylog                                      | table | sims_user | permanent   | heap          | 368 kB     | 
 public | audit_auditreport                                      | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | audit_historicalauditreport                            | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | auth_group                                             | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | auth_group_permissions                                 | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | auth_permission                                        | table | sims_user | permanent   | heap          | 56 kB      | 
 public | bulk_bulkoperation                                     | table | sims_user | permanent   | heap          | 16 kB      | 
 public | django_admin_log                                       | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | django_celery_beat_clockedschedule                     | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | django_celery_beat_crontabschedule                     | table | sims_user | permanent   | heap          | 16 kB      | 
 public | django_celery_beat_intervalschedule                    | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | django_celery_beat_periodictask                        | table | sims_user | permanent   | heap          | 16 kB      | 
 public | django_celery_beat_periodictasks                       | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | django_celery_beat_solarschedule                       | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | django_content_type                                    | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | django_migrations                                      | table | sims_user | permanent   | heap          | 16 kB      | 
 public | django_session                                         | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | notifications_notification                             | table | sims_user | permanent   | heap          | 16 kB      | 
 public | notifications_notificationpreference                   | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | rotations_hospital                                     | table | sims_user | permanent   | heap          | 48 kB      | 
 public | rotations_hospitaldepartment                           | table | sims_user | permanent   | heap          | 40 kB      | 
 public | training_deputationposting                             | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicaldeputationposting                   | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalleaverequest                        | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalprogrammilestone                    | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_historicalprogrammilestonelogbookrequirement  | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_historicalprogrammilestoneresearchrequirement | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_historicalprogrammilestoneworkshoprequirement | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_historicalprogrampolicy                       | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalprogramrotationtemplate             | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalresidentresearchproject             | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalresidentthesis                      | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalresidenttrainingrecord              | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_historicalresidentworkshopcompletion          | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalrotationassignment                  | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_historicaltrainingprogram                     | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_historicalworkshop                            | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_historicalworkshopblock                       | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_historicalworkshoprun                         | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_leaverequest                                  | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_programmilestone                              | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_programmilestonelogbookrequirement            | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | training_programmilestoneresearchrequirement           | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_programmilestoneworkshoprequirement           | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_programpolicy                                 | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_programrotationtemplate                       | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_programrotationtemplate_allowed_hospitals     | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_residentmilestoneeligibility                  | table | sims_user | permanent   | heap          | 56 kB      | 
 public | training_residentresearchproject                       | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_residentthesis                                | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_residenttrainingrecord                        | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_residentworkshopcompletion                    | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_rotationassignment                            | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_trainingprogram                               | table | sims_user | permanent   | heap          | 32 kB      | 
 public | training_workshop                                      | table | sims_user | permanent   | heap          | 16 kB      | 
 public | training_workshopblock                                 | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | training_workshoprun                                   | table | sims_user | permanent   | heap          | 16 kB      | 
 public | users_departmentmembership                             | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_historicaluser                                   | table | sims_user | permanent   | heap          | 344 kB     | 
 public | users_hodassignment                                    | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_hospitalassignment                               | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_residentprofile                                  | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_staffprofile                                     | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_supervisorresidentlink                           | table | sims_user | permanent   | heap          | 8192 bytes | 
 public | users_user                                             | table | sims_user | permanent   | heap          | 48 kB      | 
 public | users_user_groups                                      | table | sims_user | permanent   | heap          | 0 bytes    | 
 public | users_user_user_permissions                            | table | sims_user | permanent   | heap          | 0 bytes    | 
(70 rows)

